"","lon","lat","KWH","percent","Base","lattilt","id","coords.x1","coords.x2"
"98",-75.6624122,41.408969,7039.133333,3.11266807887941e-06,"SCRANTON AAP ",4.34,98,-75.6624122,41.408969
"99",-71.3627672,42.2893478,0,0,"SOLDIER SYSTEMS 
CTR, NATICK 
",4.54,99,-71.3627672,42.2893478
"100",-81.0153259,33.968795,560197.6944,0.000247716501269564,"SOUTH CAROLINA 
ARNG 
",5.19,100,-81.0153259,33.968795
"101",-96.6248333,45.2165282,586.5944444,2.59389006565914e-07,"SOUTH DAKOTA 
ARNG 
",4.55,101,-96.6248333,45.2165282
"102",-86.5075091,36.0114914,455490.5861,0.00020141556360878,"TENNESSEE ARNG",4.76,102,-86.5075091,36.0114914
"103",-101.8704102,33.5816223,2905402.283,0.00128475374947092,"TEXAS ARNG ",6.12,103,-101.8704102,33.5816223
"104",-75.432569,41.194334,620616.9222,0.000274433568957704,"TOBYHANNA ARMY 
DEPOT 
",4.45,104,-75.432569,41.194334
"105",-112.308556,40.317444,21374914.96,0.00945187601048016,"TOOELE ARMY 
DEPOT 
",5.54,105,-112.308556,40.317444
"106",-80.2040435,25.7890972,22290.58889,9.85678225074288e-06,"USAG MIAMI ",5.56,106,-80.2040435,25.7890972
"107",-111.8893522,40.5161715,55726.47222,2.46419556246462e-05,"UTAH ARNG",5.53,107,-111.8893522,40.5161715
"108",-73.074051,44.438313,334652.1306,0.000147981428276719,"VERMONT ARNG",4.28,108,-73.074051,44.438313
"109",-80.412905,37.131607,81829.925,3.61847664186866e-05,"VIRGINIA ARNG",4.85,109,-80.412905,37.131607
"110",-87.16777,38.661612,170992.2806,7.5611895439346e-05,"WASHINGTON ARNG",4.66,110,-87.16777,38.661612
"111",-73.7134343,42.7204539,84762.89722,3.74817114506318e-05,"WATERVLIET 
ARSENAL",4.48,111,-73.7134343,42.7204539
"112",-122.4253978,37.8050858,0,0,"WEST POINT MIL 
RESERVATION 
",5.33,112,-122.4253978,37.8050858
"113",-80.2262138,38.9731306,274232.9028,0.000121264360588579,"WEST VIRGINIA 
ARNG 
",4.43,113,-80.2262138,38.9731306
"114",-106.4196598,32.943896,12537576.36,0.00554405093299361,"WHITE SANDS 
MISSILE RANGE 
",6.18,114,-106.4196598,32.943896
"115",-89.3300458,43.1304182,24343.66944,1.07646437713357e-05,"WISCONSIN ARNG ",4.47,115,-89.3300458,43.1304182
"116",-104.8406171,41.1700041,7100139.156,0.00313964453590824,"WYOMING ARNG",5.53,116,-104.8406171,41.1700041
"117",-114.2525392,33.0177811,16942900.64,0.00749206237343388,"YUMA PROVING GROUND",6.83,117,-114.2525392,33.0177811
