"","site_lon","site_lat","kwh","totkwh","distance","which","city"
"153183",-85.7484466,38.2047682,5283.74,206065.86,672779,NA,"Atlanta+GA"
"153222",-85.71,31.34,5913.292,6333135.732,342346,NA,"Atlanta+GA"
"154293",-84.9703715,32.3565078,5823.356,308637.868,186537,NA,"Atlanta+GA"
"154346",-84.4356468,33.7077085,5710.936,959437.248,9979,NA,"Atlanta+GA"
"154514",-83.0675651,40.0896495,5002.69,255137.19,929360,NA,"Atlanta+GA"
"154565",-82.6392899,30.1896756,6003.228,2029091.064,462308,NA,"Atlanta+GA"
"154903",-82.1402652,33.418923,5890.808,282758.784,228966,NA,"Atlanta+GA"
"154951",-81.6089873,31.8690667,5924.534,143391496.402,383366,NA,"Atlanta+GA"
"179154",-81.3594155,28.5108071,6059.438,187842.578,709397,NA,"Atlanta+GA"
"179185",-81.096561,32.008234,6014.47,54130.23,405144,NA,"Atlanta+GA"
"179194",-81.0153259,33.968795,5834.598,326737.488,347958,NA,"Atlanta+GA"
"179250",-80.8322428,34.0550741,5834.598,25613885.22,388307,NA,"Atlanta+GA"
"183640",-80.412905,37.131607,5452.37,81785.55,642570,NA,"Atlanta+GA"
"183655",-80.2262138,38.9731306,4980.206,184267.622,920003,NA,"Atlanta+GA"
"183692",-80.0061829,40.440551,4879.028,19516.112,1100326,NA,"Atlanta+GA"
"183696",-78.999167,35.139167,5778.388,22044550.22,615197,NA,"Atlanta+GA"
"187511",-78.887608,35.012028,5800.872,17402.616,596699,NA,"Atlanta+GA"
"187514",-77.665066,39.9847065,5103.868,6027668.108,1074289,NA,"Atlanta+GA"
"188695",-77.4231264,39.4382526,5328.708,554185.632,1044792,NA,"Atlanta+GA"
"188799",-77.3184426,38.0691995,5542.306,32533336.22,922928,NA,"Atlanta+GA"
"194669",-77.16637,40.200088,5216.288,125190.912,1118108,NA,"Atlanta+GA"
"194693",-77.0427934,-12.046374,5947.018,136781.414,5898115,NA,NA
"194716",-76.5751881,37.1593302,5677.21,4257907.5,942561,NA,"Atlanta+GA"
"195466",-76.3072229,37.0039058,5710.936,279835.864,932256,NA,"Atlanta+GA"
"195515",-75.758056,44.038056,4755.366,36487923.318,1688888,NA,"Atlanta+GA"
"203188",-75.6683469,39.7335605,5373.676,48363.084,1196973,NA,"Atlanta+GA"
"203197",-74.5802593,40.9168205,5193.804,2176203.876,1372640,NA,"Atlanta+GA"
"203616",-74.0315,40.6091,5205.046,36435.322,1384324,NA,"Atlanta+GA"
"203623",-73.9838704,40.7412735,5182.562,316136.282,1395414,NA,"Atlanta+GA"
"203684",-73.9701381,40.8509333,5171.32,29838516.4,1402064,NA,"Atlanta+GA"
"209454",-73.7134343,42.7204539,5036.416,55400.576,1625600,NA,"Atlanta+GA"
"209465",-73.1498831,41.2297671,5272.498,15817.494,1495542,NA,"Atlanta+GA"
"209468",-73.074051,44.438313,4811.576,173216.736,1856711,NA,"Atlanta+GA"
"209504",-71.4207775,41.5966992,5193.804,77907.06,1672392,NA,"Atlanta+GA"
"209519",-71.3824374,42.4072107,5092.626,5092.626,1713331,NA,"Atlanta+GA"
"209520",-70.2603905,43.6559295,5205.046,395583.496,1891683,NA,"Atlanta+GA"
"209596",-2.094278,57.149717,5947.018,31091010.104,NA,NA,NA
"214824",9.1859243,45.4654219,5947.018,10764102.58,5898115,NA,NA
