UUID,Category,Sub category,Elementary flowname,Unit,resources - fossil fuels,resources - mineral extraction
19988f5b-a9a6-48f3-9e8e-150b66a1bf12,resource,in ground,"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",kg,0,1.2357
b58a44f8-6381-4e60-bc45-33b85b77ccfb,resource,unspecified,"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",kg,0,1.2357
79df5650-160a-4ab7-a14f-cc8162877f4a,resource,in ground,"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
b3b72095-a965-49a2-b47e-7acb8f2388e8,resource,unspecified,"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
ed5ace5c-a203-4816-b33b-9fe0c5f0f519,resource,in ground,"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground",kg,0,1.2357
deee5b4a-14dd-4600-ba18-48221882d9b9,resource,unspecified,"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground",kg,0,1.2357
31998285-fb5c-411d-b853-ce78be2a0b49,resource,in ground,"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
bcd7879c-1e11-4265-889a-dbdacbe6e72a,resource,unspecified,"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
c8f18160-6937-4bb9-ad0c-dffa942ca41e,resource,in ground,"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
fbf5d421-6486-49dd-a0bd-77012568cd97,resource,unspecified,"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
b569dc97-52fe-4e39-9627-183b1002c287,resource,in ground,"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
7df8baae-5dc8-4e19-9114-7abc9a792f80,resource,unspecified,"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground",kg,0,1.2357
5afa470c-ab8c-4ec3-8a18-5c0bed973571,resource,in ground,"Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore, in ground",kg,0,1.2357
60f595cf-f180-419a-b86c-49de660d6295,resource,unspecified,"Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore, in ground",kg,0,1.2357
42920fa5-8d96-4685-be67-c760aa5f0336,resource,in ground,"Copper, Gold, Ore (1.07% Cu, 0.54 g/t Au)",kg,0,0
2d4b0ccc-ba5a-40d8-9ee0-5aac9e2e4d7e,resource,in ground,"Copper, Gold, Silver, ore (0.51% Cu, 0.6 g/t Au, 1.5 g/t Ag)",kg,0,0
c17f3b30-1647-4d50-8ed9-9beabed9eb99,resource,in ground,"Copper, Gold, Silver, ore (1.0% Cu, 0.4 g/t Au, 66 g/t Ag)",kg,0,0
