UUID,Category,Sub category,Elementary flowname,Unit,acidification,ecotoxicity,eutrophication,globalwarming,ozonedepletion,photochemicaloxidation,carcinogenics,non-carcinogenics,respiratory.effects
9c12d7fb-7ff5-4daf-bd60-bb515340c319,soil,unspecified,4-AMINOBIPHENYL,kg,0,0,0,0,0,0,0,0,0
b7354c2e-f7bb-4aa9-a1fe-03483c60d6a8,soil,unspecified,4-Methyl-2-pentanol,kg,0,0,0,0,0,0,0,0,0
56e7c4ee-29a0-4d90-a44d-ee7e7faade83,water,unspecified,4-Methyl-2-pentanol,kg,0,0,0,0,0,0,0,0,0
53214ef0-3cc1-4166-920b-08ca46f7c457,air,unspecified,4-Methyl-2-pentanone,kg,0,0,0,0,0,0.93065,0,0.7926,0
f9a5aadf-8ac9-4a4c-acf6-7b3523f0e4a6,soil,unspecified,4-Methyl-2-pentanone,kg,0,0,0,0,0,0,0,0,0
f9d36529-abde-4ed2-a82c-d365ae2c713f,water,unspecified,4-Methyl-2-pentanone,kg,0,0,0,0,0,0,0,0.52176,0
4bdd6f09-1c24-4168-b2d2-92c4fb11d590,soil,unspecified,4-nitroaniline,kg,0,0,0,0,0,0,0,0,0
26946e39-f7db-4a72-bd0d-d1b898820aeb,soil,unspecified,4-NITROPHENOL,kg,0,0,0,0,0,0,0,0,0
638445d3-bbfc-4a40-ae90-f03f011cf9d2,soil,unspecified,4-Vinylcyclohexene,kg,0,0,0,0,0,0,0,0,0
acb9147f-97e2-4e79-9102-ec2996264f5e,soil,unspecified,5-Nitro-o-anisidine,kg,0,0,0,0,0,0,0,0,0
0afdbac1-45ac-4ce3-abbb-4a1666018c2b,soil,unspecified,Abamectin,kg,0,0,0,0,0,0,0,0,0
1f4afa32-a9a2-40da-8396-104452cb637f,air,unspecified,Acenaphthene,kg,0,0.10248,0,0,0,0,0,0.17559,0
115b1683-4f53-4f0c-94f8-1e9cd863ee4e,soil,unspecified,Acenaphthene,kg,0,0,0,0,0,0,0,0,0
8732d8b5-7f41-498c-be37-5bcd7a802ee6,water,unspecified,Acenaphthene,kg,0,48.696,0,0,0,0,0,1.7588,0
63e76212-8549-11e0-9d78-0800200c9a66,air,unspecified,Acenaphthylene,kg,0,0,0,0,0,0,0,0,0
7c02a013-712f-4588-bfd8-247078e0f4d8,water,unspecified,Acenaphthylene,kg,0,0,0,0,0,0,0,0,0
94ab24d4-0121-45c4-84ad-90d715118a06,air,unspecified,Acephate,kg,0,0,0,0,0,0,0,0,0
836834f9-3b0d-449b-83bf-9c7a733500dc,soil,unspecified,Acephate,kg,0,0,0,0,0,0,0,0,0
63e76214-8549-11e0-9d78-0800200c9a66,water,unspecified,Acephate,kg,0,0,0,0,0,0,0,0,0
e3e8f6a2-c45e-4685-9859-698b2eadaf5b,air,unspecified,Acetaldehyde,kg,0,0.0034396,0,0,0,1.4444,0.0043726,4.2491,0
b8585b07-0c9d-48ea-8dbd-6bb64b55abd7,soil,unspecified,Acetaldehyde,kg,0,0,0,0,0,0,0,0,0
4b51a9d0-4100-49c1-8d47-ec47eb51c58a,water,unspecified,Acetaldehyde,kg,0,0.30724,0,0,0,0,0.0084579,7.1066,0
3b8ac5d3-6b7d-437b-9dc8-02ad77547780,soil,unspecified,Acetamide,kg,0,0,0,0,0,0,0,0,0
e624e429-27a6-497d-be78-30e7ac1349cc,water,unspecified,Acetamide,kg,0,0,0,0,0,0,0,0,0
becb1232-aeff-4333-aa2a-38b11f93457e,air,unspecified,Acetamiprid,kg,0,0,0,0,0,0,0,0,0
d157416d-db9b-4f88-a7f3-a9a5f1ea88f2,air,unspecified,Acetic acid,kg,0,0,0,0,0,0.13347,0,0,0
6c53261f-8ca4-49bb-b249-14446a884573,soil,unspecified,Acetic acid,kg,0,0,0,0,0,0,0,0,0
3cea246d-706f-4280-ac52-3c7590e8fa7f,water,unspecified,Acetic acid,kg,0,0,0,0,0,0,0,0,0
d4f209e8-335f-4a2f-9384-77a23fbc7dee,air,unspecified,"Acetic acid, trifluoro-",kg,0,0,0,0,0,0,0,0,0
edf1afb4-95cd-4482-b00d-6c814e08c807,air,unspecified,Acetochlor,kg,0,0,0,0,0,0,0,0,0
63e78920-8549-11e0-9d78-0800200c9a66,water,unspecified,Acetochlor,kg,0,0,0,0,0,0,0,0,0
f3d5fd96-8805-4d3d-867a-5df27975b07f,air,unspecified,Acetone,kg,0,0.013217,0,0,0,0.095806,0,0.086045,0
