,,"Graphene [kg]","Natural gas, combusted in industrial boiler [m3]","Natural gas, at extraction site [m3]","Acetone Production [kg]","copper sheet [kg]","municipal waste (unspecified) [kg]","Diesel, combusted in industrial boiler [m3]","Gasoline, combusted in equipment [m3]","Electricity, at grid, US, 2000 [kWh]","de-ionised water [kg]","iron (III) chloride, 40% in H2O, at plant [kg]","Hydrogen, liquid, synthesis gas, at plant [kg]","polymethyl methacrylate (PMMA) beads [kg]","Natural gas, processed, at plant [m3]","Iron, sand casted [kg]","Chlorine, production mix, at plant [kg]","Transport, combination truck, average fuel mix [t*km]","Hydrochloric acid, at plant [kg]","Natural gas, processed, for olefins production, at plant [kg]","Transport, pipeline, natural gas [t*km]","Electricity, at grid, US, 2008 [kWh]","Propylene, at plant [kg]","oxygen [kg]","Sulfuric acid, at plant [kg]","benzene [kg]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","Natural gas, processed, at plant [m3]","Sodium hydroxide, production mix, at plant [kg]","Dummy, TEA gas scrubber, at plant [kg]","Oxygen, liquid, at plant [kg]","Dummy, Disposal, sludge, to sanitary landfill [kg]","Sodium chloride, at plant [kg]","Transport, pipeline, unspecified petroleum products [t*km]","transport, combination truck, diesel powered [t*km]","Natural gas, extracted [kg]","Natural gas, combusted in industrial boiler, at hydrocracker, for propylene [m3]","Electricity, at cogen, for natural gas turbine [kWh]","Sulfur, at plant [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]"
,,"","","","","Materials production / Metals and semimetals","Wastes / Production residues","","","","Materials production / Water","chemicals / inorganics","","Materials production / Plastics","","","","","","","","","","Materials production / Inorganic chemicals","","Materials production / Organic chemicals","","","","","","","","","","","","","","","",""
"Transport, train, diesel powered [t*km]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00819,0.0,0.0,0.0,-8.460146822436664E-4,0.0,0.0,0.0,0.0,0.0,-0.024089151206002,0.0,-0.0014123802,0.0,0.0,0.0,0.0,-9.319303177563336E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011858,0.0,0.0,0.0,0.0
"Transport, barge, diesel powered [t*km]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9561033115460496E-4,0.0,0.0,0.0,0.0,0.0,-0.0232150343779978,0.0,0.0,0.0,0.0,0.0,0.0,-2.1547521797834302E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methane [kg]","air / unspecified",0.0,0.0,0.00881,0.0,1.838760895,0.018449262,0.0,0.0,0.0,1.27016706849892E-5,0.0,0.0,0.047663026,0.0,0.0,2.3554005760055284E-10,0.0,0.001104026,0.0,0.0,0.0,1.0E-6,2.69060520510655E-4,0.0,0.00650752705440972,0.0,0.0,0.0,2.594599423994472E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.00634,0.0,0.0
"polyethylene terephthalate (PET) granulate [kg]","Materials production / Plastics",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aluminium [kg]","water / fresh water",0.0,0.0,0.0,0.0,0.00578679,7.76284E-7,0.0,0.0,0.0,3.42386029230842E-8,0.0,0.0,5.38425E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475278721881E-6,0.0,9.07540119816399E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nitrogen dioxide [kg]","air / unspecified",0.0,0.0,0.0,0.0,2.608434786,0.007393557,0.0,0.0,0.0,1.57200019349553E-5,0.0,0.0,0.01235084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62454216341768E-4,0.0,0.00211992703187344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VOC, volatile organic compounds [kg]","air / unspecified",0.0,8.84E-5,0.0,0.0,0.077606436,6.90459388611986E-4,2.41E-5,0.0028351,0.0,2.36490647909948E-8,0.0,0.0,0.00202425283222,5.66E-4,0.0,0.0,0.0,2.7390337E-4,7.7E-4,0.0,0.0,1.0E-5,9.73110448660299E-7,0.0,1.41373429970772E-6,0.0,0.0,5.66E-4,0.0,0.0,0.0,0.0,0.0,0.0,2.6292E-5,0.0,8.8405E-5,0.0,0.0,1.3237E-5,1.3128E-5
"Clay, unspecified, in ground [kg]","resource / in ground",0.0,0.0,0.0,0.0,0.0,-1.46397E-8,0.0,0.0,0.0,-4.76502353790577E-7,0.0,0.0,-8.01237E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07605490169265E-5,0.0,-4.26324483980804E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fluoride [kg]","water / fresh water",0.0,0.0,0.0,0.0,0.101901391,1.08234E-9,0.0,0.0,0.0,3.39090086612571E-6,0.0,0.0,6.6352E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26675646070264E-5,0.0,2.56009564848352E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hydrocyanic acid [kg]","air / unspecified",0.0,0.0,0.0,0.0,4.99E-6,1.22554E-18,0.0,0.0,0.0,1.10204502396419E-11,0.0,0.0,2.80179E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60142547414763E-11,0.0,6.17350719800526E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
